Distrito,Cluster,OLT,F,S,P,Cuenta,Código QR,Capacidad,Latitud,Longitud,NOMBRE_SPLITTER,Ubicacion
COACALCO,COACALCO,COACALCO_DF,0,1,3,0102433978,TP579511,1:16,19.618150778615767,-99.10114623606205,TP579511,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0140222068,TP579511,1:16,19.618150778615767,-99.10114623606205,TP579511,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0113221229,TP579511,1:16,19.618150778615767,-99.10114623606205,TP579511,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141991376,TP579511,1:16,19.618150778615767,-99.10114623606205,TP579511,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0134166337,TP579511,1:16,19.618150778615767,-99.10114623606205,TP579511,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0106073601,TP579511,1:16,19.618150778615767,-99.10114623606205,TP579511,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0123050792,TP792513,1:8,19.616662657436244,-99.10132795572281,TP792513,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0105448039,TP792513,1:8,19.616662657436244,-99.10132795572281,TP792513,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141910615,TP792513,1:8,19.616662657436244,-99.10132795572281,TP792513,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141693174,TP792513,1:8,19.616662657436244,-99.10132795572281,TP792513,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141891928,TP792513,1:8,19.616662657436244,-99.10132795572281,TP792513,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0103620155,TP792513,1:8,19.616662657436244,-99.10132795572281,TP792513,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0129729767,TP792513,1:8,19.616662657436244,-99.10132795572281,TP792513,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0117568250,TP792513,1:8,19.616662657436244,-99.10132795572281,TP792513,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0108950649,TP794799,1:8,19.619917746718013,-99.1019569337368,TP794799,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0100586895,TP794799,1:8,19.619917746718013,-99.1019569337368,TP794799,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0140134575,TP794799,1:8,19.619917746718013,-99.1019569337368,TP794799,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0101299634,TP794799,1:8,19.619917746718013,-99.1019569337368,TP794799,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0142848390,TP794799,1:8,19.619917746718013,-99.1019569337368,TP794799,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0103107872,TP794799,1:8,19.619917746718013,-99.1019569337368,TP794799,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0119232230,TP794799,1:8,19.619917746718013,-99.1019569337368,TP794799,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0140229143,TP967695,1:8,19.6181375144386,-99.09870307892561,2n,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141030278,TP967695,1:8,19.6181375144386,-99.09870307892561,2n,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0101135050,TP967695,1:8,19.6181375144386,-99.09870307892561,2n,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0140635975,TP967695,1:8,19.6181375144386,-99.09870307892561,2n,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141726289,TP967695,1:8,19.6181375144386,-99.09870307892561,2n,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0140446386,TP967695,1:8,19.6181375144386,-99.09870307892561,2n,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141011306,TP967695,1:8,19.6181375144386,-99.09870307892561,2n,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0143049630,TP967695,1:8,19.6181375144386,-99.09870307892561,2n,Poste
